name,root,pos,modification
aMSayitum,aMSa,infinitive,
aMSya,aMSa,gerund,
akya,aYc,gerund,
akzitum,akz,infinitive,
agadya,agada,gerund,
agadyitum,agada,infinitive,
aGAyitum,aGa,infinitive,
aGya,aGa,gerund,
aNkayitum,aNka,infinitive,
aNktum,aYj,infinitive,
aNkya,aNka,gerund,
aNKayitum,aNKa,infinitive,
aNKya,aNKa,gerund,
aNgitum,aNg,infinitive,
aNgya,aNg,gerund,
acya,aYc,gerund,
ajitum,aj,infinitive,
ajirAyitum,ajira,infinitive,
ajirya,ajira,gerund,
ajya,aj,gerund,
ajya,aYj,gerund,
aYcayitum,aYc,infinitive,caus
aYcitum,aYc,infinitive,
aYcya,aYc,gerund,caus
aYjayitum,aYj,infinitive,caus
aYjitum,aYj,infinitive,
aYjya,aYj,gerund,caus
awitum,aw,infinitive,
awya,aw,gerund,
atitum,at,infinitive,
attum,ad#1,infinitive,
atya,at,gerund,
adya,ad#1,gerund,
aDvarIyitum,aDvara,infinitive,
aDvarya,aDvara,gerund,
aDvaryitum,aDvara,infinitive,
anitum,an#2,infinitive,
aninizitum,an#2,infinitive,desid
aninizya,an#2,gerund,desid
anDayitum,anDa,infinitive,
anDya,anDa,gerund,
anya,an#2,gerund,
apsaraya,apsaras,gerund,
apsarAyitum,apsaras,infinitive,
aBrAyitum,aBra,infinitive,
aBrya,aBra,gerund,
amitrayitum,amitra,infinitive,
amitrya,amitra,gerund,
amItum,am,infinitive,
aririzitum,f,infinitive,desid
aririzya,f,gerund,desid
arcayitum,fc#1,infinitive,caus
arcayya,fc#1,gerund,caus
arcicizitum,fc#1,infinitive,desid
arcicizya,fc#1,gerund,desid
arcitum,fc#1,infinitive,
arcya,fc#1,gerund,
arjayitum,fj,infinitive,caus
arjitum,fj,infinitive,
arjya,fj,gerund,caus
artum,f,infinitive,
arTayitum,arT,infinitive,
arTya,arT,gerund,
arditum,ard,infinitive,
ardya,ard,gerund,
arDayitum,fD,infinitive,caus
arDayya,fD,gerund,caus
arDitum,fD,infinitive,
arpayitum,f,infinitive,caus
arpayya,f,gerund,caus
arzitum,fz,infinitive,
arhayitum,arh,infinitive,caus
arhitum,arh,infinitive,
arhya,arh,gerund,
avitum,av,infinitive,
avya,av,gerund,
aSanAyitum,aSana#2,infinitive,
aSanIyitum,aSana#2,infinitive,
aSanya,aSana#2,gerund,
aSitum,aS#1,infinitive,
aSitum,aS#2,infinitive,
aSya,aS#1,gerund,
aSya,aS#2,gerund,
aSvasyitum,aSva,infinitive,
aSvAyitum,aSva,infinitive,
aSvya,aSva,gerund,
azwum,akz,infinitive,
asitum,as#1,infinitive,
asitum,as#2,infinitive,
asUyitum,asUya,infinitive,
asUyya,asUya,gerund,
asya,as#2,gerund,
AkarRayitum,AkarRa,infinitive,
AkarRya,AkarRa,gerund,
Akulayitum,Akula,infinitive,
Akulya,Akula,gerund,
Adayitum,ad#1,infinitive,caus
Adya,ad#1,gerund,caus
Anayitum,an#2,infinitive,caus
Anya,an#2,gerund,caus
Anya,am,gerund,
Apayitum,Ap,infinitive,caus
Apayya,Ap,gerund,caus
Aptum,Ap,infinitive,
Apya,Ap,gerund,
Amayitum,am,infinitive,caus
Amya,am,gerund,caus
Avayitum,av,infinitive,caus
Avilayitum,Avila,infinitive,
Avilya,Avila,gerund,
Avya,av,gerund,caus
ASayitum,aS#2,infinitive,caus
ASya,aS#2,gerund,caus
Asam,as#2,gerund,
Asayitum,As#2,infinitive,caus
Asayitum,as#2,infinitive,caus
Asitum,As#2,infinitive,
Asya,As#2,gerund,
Asya,as#2,gerund,caus
iNgayitum,iNg,infinitive,caus
iNgya,iNg,gerund,
ijya,yaj#1,gerund,
itya,i,gerund,
iDya,inD,gerund,
inditum,ind,infinitive,
indya,ind,gerund,
inDitum,inD,infinitive,
inya,in,gerund,
invitum,inv,infinitive,
invya,inv,gerund,
iraya,iras,gerund,
irasyitum,iras,infinitive,
ilayitum,il,infinitive,caus
ilya,il,gerund,
izayitum,iz#1,infinitive,caus
izayitum,iz#2,infinitive,caus
izuDya,izuDi,gerund,
izuDyitum,izuDi,infinitive,
izya,iz#1,gerund,
izya,iz#2,gerund,
Ikzitum,Ikz,infinitive,
Ikzya,Ikz,gerund,
INKayitum,INK,infinitive,caus
INKitum,INK,infinitive,
INKya,INK,gerund,
Iqitum,Iq,infinitive,
Iqya,Iq,gerund,
Ipsitum,Ap,infinitive,desid
Ipsya,Ap,gerund,desid
Irayitum,Ir,infinitive,caus
Iritum,Ir,infinitive,
Irya,Ir,gerund,
Irzitum,Irz,infinitive,
Irzya,Irz,gerund,
ISitum,IS#1,infinitive,
ISya,IS#1,gerund,
Izitum,Iz,infinitive,
Izya,Iz,gerund,
Ihitum,Ih,infinitive,
Ihya,Ih,gerund,
ukzitum,ukz,infinitive,
ukzya,ukz,gerund,
ucitum,uc,infinitive,
ucya,uc,gerund,
ucya,vac,gerund,
ujJitum,ujJ,infinitive,
ujJya,ujJ,gerund,
uYCitum,uYC,infinitive,
uYCya,uYC,gerund,
utkaRWayitum,utkaRW,infinitive,caus
utkaRWitum,utkaRW,infinitive,
utkaRWya,utkaRW,gerund,
udakIyitum,udaka,infinitive,
udakya,udaka,gerund,
udanyitum,udan,infinitive,
udaya,udan,gerund,
udya,und,gerund,
udya,vad,gerund,
unditum,und,infinitive,
undya,und,gerund,
unmanaya,unmanas,gerund,
unmanAyitum,unmanas,infinitive,
upya,vap#1,gerund,
upya,vap#2,gerund,
uBya,umB,gerund,
umBitum,umB,infinitive,
uya,vA#3,gerund,
uraya,uras,gerund,
urasyitum,uras,infinitive,
uruzya,uruz,gerund,
urozitum,uruz,infinitive,
uzaya,uzas,gerund,
uzasyitum,uzas,infinitive,
uzya,uz,gerund,
uzya,vas#1,gerund,
uzya,vas#4,gerund,
uhya,vah#1,gerund,
Uya,vA#3,gerund,
Urjayitum,Urj#1,infinitive,caus
Urjya,Urj#1,gerund,caus
Uzmaya,Uzman,gerund,
UzmAyitum,Uzman,infinitive,
Uhitum,Uh,infinitive,
Uhya,Uh,gerund,
ftya,f,gerund,
fDya,fD,gerund,
fzya,fz,gerund,
ejayitum,ej,infinitive,caus
ejitum,ej,infinitive,
ejya,ej,gerund,
etum,i,infinitive,
eDayitum,eD,infinitive,caus
eDitum,eD,infinitive,
eDya,eD,gerund,
enitum,in,infinitive,
elayitum,il,infinitive,caus
elitum,il,infinitive,
elya,il,gerund,caus
ezitum,iz#1,infinitive,
ezitum,iz#2,infinitive,
ezwum,iz#1,infinitive,
ozitum,uz,infinitive,
kaRqayitum,kaRq,infinitive,
kaRqUyitum,kaRqu,infinitive,
kaRqya,kaRq,gerund,
kaRqya,kaRqu,gerund,
kaRvAyitum,kaRva,infinitive,
kaRvya,kaRva,gerund,
katTitum,katT,infinitive,
katTya,katT,gerund,
kaTayitum,kaT,infinitive,
kaTayya,kaT,gerund,
kadarTayitum,kadarTa,infinitive,
kadarTya,kadarTa,gerund,
kampayitum,kamp,infinitive,caus
kampitum,kamp,infinitive,
kampya,kamp,gerund,
karitum,kF,infinitive,
karItum,kF,infinitive,
karuRAyitum,karuRa,infinitive,
karuRya,karuRa,gerund,
karRayitum,karRa,infinitive,
karRya,karRa,gerund,
kartitum,kft#1,infinitive,
kartum,kf#1,infinitive,
karttum,kft#1,infinitive,
kartya,kartf,gerund,
kartrIyitum,kartf,infinitive,
karpitum,kfp,infinitive,
karptum,kfp,infinitive,
karSayitum,kfS,infinitive,caus
karSitum,kfS,infinitive,
karSya,kfS,gerund,caus
karzayitum,kfz,infinitive,caus
karzwum,kfz,infinitive,
karzya,kfz,gerund,caus
kalaNkayitum,kalaNka,infinitive,
kalaNkya,kalaNka,gerund,
kalayitum,kal,infinitive,
kalayya,kal,gerund,
kalahAyitum,kalaha,infinitive,
kalahya,kalaha,gerund,
kaluzayitum,kaluza,infinitive,
kaluzAyitum,kaluza,infinitive,
kaluzya,kaluza,gerund,
kalpayitum,kxp,infinitive,caus
kalpayya,kxp,gerund,caus
kalpitum,kxp,infinitive,
kalptum,kxp,infinitive,
kavalayitum,kavala,infinitive,
kavalya,kavala,gerund,
kavitum,kU,infinitive,
kavIyitum,kavi,infinitive,
kavya,kavi,gerund,
kazitum,kaz,infinitive,
kazwAyitum,kazwa,infinitive,
kazwya,kazwa,gerund,
kazya,kaz,gerund,
kasitum,kas,infinitive,
kasya,kas,gerund,
kANkzitum,kANkz,infinitive,
kANkzya,kANkz,gerund,
kAmayitum,kam,infinitive,caus
kAmya,kam,gerund,caus
kAram,kf#1,gerund,
kArayitum,kf#1,infinitive,caus
kArya,kf#1,gerund,caus
kAlayitum,kal,infinitive,caus
kAlayya,kal,gerund,caus
kASayitum,kAS,infinitive,caus
kASitum,kAS,infinitive,
kASya,kAS,gerund,
kAzam,kaz,gerund,
kAzayitum,kaz,infinitive,caus
kAzya,kaz,gerund,caus
kAsayitum,kas,infinitive,caus
kAsya,kas,gerund,caus
kIrtayitum,kIrt,infinitive,
kIrtya,kIrt,gerund,
kIrya,kF,gerund,
kucya,kuc,gerund,
kuYcayitum,kuc,infinitive,caus
kuYcya,kuc,gerund,caus
kuwwayitum,kuwwa,infinitive,
kuwwya,kuwwa,gerund,
kuwya,kuw,gerund,
kuRWitum,kuRW,infinitive,
kuRWya,kuRW,gerund,
kuRqayitum,kuRq,infinitive,caus
kuRqitum,kuRq,infinitive,
kuRqya,kuRq,gerund,
kutsayitum,kuts,infinitive,
kutsitum,kuts,infinitive,
kutsya,kuts,gerund,
kunTitum,kunT,infinitive,
kunTya,kunT,gerund,
kupya,kup,gerund,
kulya,kul,gerund,
kusumayitum,kusuma,infinitive,
kusumya,kusuma,gerund,
kUjitum,kUj,infinitive,
kUjya,kUj,gerund,
kUya,kU,gerund,
kfcCrAyitum,kfcCra,infinitive,
kfcCrya,kfcCra,gerund,
kftya,kft#1,gerund,
kftya,kf#1,gerund,
kfpayitum,kfp,infinitive,caus
kfpya,kfp,gerund,
kfSya,kfS,gerund,
kfzya,kfz,gerund,
kxpya,kxp,gerund,
kelAyitum,kelA,infinitive,
kelya,kelA,gerund,
kocitum,kuc,infinitive,
kowitum,kuw,infinitive,
kopitum,kup,infinitive,
kolitum,kul,infinitive,
krantum,kram,infinitive,
kranditum,krand,infinitive,
krandya,krand,gerund,
kramayitum,kram,infinitive,caus
kramayya,kram,gerund,caus
kramitum,kram,infinitive,
kramya,kram,gerund,
krazwum,kfz,infinitive,
krApayitum,krI,infinitive,caus
krApya,krI,gerund,caus
krAmam,kram,gerund,
krAmayitum,kram,infinitive,caus
krAmayya,kram,gerund,caus
krIqayitum,krIq,infinitive,caus
krIqitum,krIq,infinitive,
krIqya,krIq,gerund,
krIya,krI,gerund,
krucya,kruYc#1,gerund,
kruYcitum,kruYc#1,infinitive,
kruDya,kruD#1,gerund,
kruSya,kruS,gerund,
kretum,krI,infinitive,
krodDum,kruD#1,infinitive,
kroDayitum,kruD#1,infinitive,caus
kroDya,kruD#1,gerund,caus
krozwum,kruS,infinitive,
klamitum,klam,infinitive,
klamya,klam,gerund,
klAmayitum,klam,infinitive,caus
klAmya,klam,gerund,caus
klinya,klid,gerund,
kliSya,kliS,gerund,
klIbatya,klIba,gerund,
klIbAyitum,klIba,infinitive,
klIbetum,klIba,infinitive,
klIbya,klIba,gerund,
klettum,klid,infinitive,
kledayitum,klid,infinitive,caus
kleditum,klid,infinitive,
kledya,klid,gerund,caus
kleSayitum,kliS,infinitive,caus
kleSitum,kliS,infinitive,
kleSya,kliS,gerund,caus
kvaTitum,kvaT,infinitive,
kvaTya,kvaT,gerund,
kvATayitum,kvaT,infinitive,caus
kvATya,kvaT,gerund,caus
kzaditum,kzad,infinitive,
kzadya,kzad,gerund,
kzanitum,kzan,infinitive,
kzantum,kzam,infinitive,
kzapayitum,kzI,infinitive,caus
kzapitum,kzap,infinitive,
kzapya,kzap,gerund,
kzapya,kzI,gerund,caus
kzamayitum,kzam,infinitive,caus
kzamitum,kzam,infinitive,
kzamya,kzam,gerund,caus
kzaya,kzan,gerund,
kzayitum,kzI,infinitive,
kzaritum,kzar,infinitive,
kzarya,kzar,gerund,
kzavitum,kzu,infinitive,
kzARya,kzam,gerund,
kzAmayitum,kzam,infinitive,caus
kzAmya,kzam,gerund,caus
kzAlayitum,kzal,infinitive,caus
kzAlya,kzal,gerund,caus
kzipya,kzip,gerund,
kzItya,kzi,gerund,
kzIya,kzI,gerund,
kzIrasyitum,kzIra,infinitive,
kzIrya,kzIra,gerund,
kzutya,kzu,gerund,
kzudya,kzud,gerund,
kzuDya,kzuD#1,gerund,
kzuBya,kzuB,gerund,
kzetum,kzi,infinitive,
kzetum,kzI,infinitive,
kzepayitum,kzip,infinitive,caus
kzeptum,kzip,infinitive,
kzepya,kzip,gerund,caus
kzottum,kzud,infinitive,
kzodDum,kzuD#1,infinitive,
kzoBayitum,kzuB,infinitive,caus
kzoBitum,kzuB,infinitive,
kzoBya,kzuB,gerund,caus
kzveqayitum,kzviq,infinitive,caus
kzveqitum,kzviq,infinitive,
kzveqya,kzviq,gerund,
Kaqayitum,Kaqa,infinitive,
Kaqya,Kaqa,gerund,
KaRqayitum,KaRqa,infinitive,
KaRqya,KaRqa,gerund,
Kanitum,Kan,infinitive,
KAditum,KAd,infinitive,
KAdya,KAd,gerund,
KAnam,Kan,gerund,
KAnayitum,Kan,infinitive,caus
KAnya,Kan,gerund,caus
KAya,Kan,gerund,
Kinya,Kid,gerund,
Kettum,Kid,infinitive,
Kedayitum,Kid,infinitive,caus
Kedya,Kid,gerund,caus
Kelayitum,Kel,infinitive,caus
KelAyitum,Kela,infinitive,
Kelitum,Kel,infinitive,
Kelya,Kel,gerund,
Kelya,Kela,gerund,
KyAtum,KyA,infinitive,
KyApayitum,KyA,infinitive,caus
KyApya,KyA,gerund,caus
KyAya,KyA,gerund,
gajitum,gaj,infinitive,
gajya,gaj,gerund,
gaRayitum,gaR,infinitive,
gaRayya,gaR,gerund,
gatya,gam,gerund,
gadayitum,gad,infinitive,caus
gaditum,gad,infinitive,
gadgadya,gadgada,gerund,
gadgadyitum,gadgada,infinitive,
gadya,gad,gerund,
gantum,gam,infinitive,
gamayitum,gam,infinitive,caus
gamayya,gam,gerund,caus
gamya,gam,gerund,
garitum,gF#2,infinitive,
garItum,gF#2,infinitive,
garjitum,garj,infinitive,
garjya,garj,gerund,
garditum,gard,infinitive,
gardya,gard,gerund,
garDayitum,gfD,infinitive,caus
garDitum,gfD,infinitive,
garDya,gfD,gerund,caus
garvayitum,garva,infinitive,
garvAyitum,garva,infinitive,
garvya,garva,gerund,
garhayitum,garh,infinitive,
garhitum,garh,infinitive,
garhya,garh,gerund,
galitum,gal,infinitive,
galBitum,galB,infinitive,
galBya,galB,gerund,
galya,gal,gerund,
gavezayitum,gavez,infinitive,
gavezitum,gavez,infinitive,
gavezya,gavez,gerund,
gavyitum,go,infinitive,
gAtum,gA#1,infinitive,
gAtum,gA#2,infinitive,
gAlayitum,gal,infinitive,caus
gAlya,gal,gerund,caus
gAhitum,gAh,infinitive,
gAhya,gAh,gerund,
giritum,gF#1,infinitive,
gIya,gA#2,gerund,
gIrya,gF#1,gerund,
gIrya,gF#2,gerund,
guYjitum,guYj,infinitive,
guYjya,guYj,gerund,
guRWayitum,guRW,infinitive,caus
guRWya,guRW,gerund,caus
gupayya,gup,gerund,
guPya,gumP,gerund,
gumPitum,gumP,infinitive,
gurya,gur,gerund,
guhya,guh,gerund,
gUhayitum,guh,infinitive,caus
gUhitum,guh,infinitive,
gUhya,guh,gerund,caus
gfDya,gfD,gerund,
gfBya,grah,gerund,
gfhya,grah,gerund,
goQum,guh,infinitive,
gopayitum,gup,infinitive,
gopAyitum,gopA,infinitive,
gopya,gopA,gerund,
goritum,gur,infinitive,
gya,go,gerund,
graTya,granT,gerund,
granTitum,granT,infinitive,
grasitum,gras,infinitive,
grasya,gras,gerund,
grahItum,grah,infinitive,
grAhayitum,grah,infinitive,caus
grAhya,grah,gerund,caus
glapayitum,glE,infinitive,caus
glapya,glE,gerund,caus
glAtum,glE,infinitive,
glAya,glE,gerund,
Gawayitum,Gaw,infinitive,caus
Gawitum,Gaw,infinitive,
Gawwayitum,Gaww,infinitive,
Gawwitum,Gaww,infinitive,
Gawwya,Gaww,gerund,
Gawya,Gaw,gerund,
Gartum,Gf,infinitive,
Garzitum,Gfz,infinitive,
GAwayitum,Gaw,infinitive,caus
GAwya,Gaw,gerund,caus
GAtayitum,han#1,infinitive,caus
GAtya,han#1,gerund,caus
Guzya,Guz,gerund,
GUrRitum,GUrR,infinitive,
GUrRya,GUrR,gerund,
Gftya,Gf,gerund,
Gfzya,Gfz,gerund,
Gozayitum,Guz,infinitive,caus
Gozitum,Guz,infinitive,
Gozwum,Guz,infinitive,
Gozya,Guz,gerund,caus
GrAtum,GrA,infinitive,
GrAya,GrA,gerund,
cakAsitum,cakAs,infinitive,
cakAsya,cakAs,gerund,
cakzitum,cakz,infinitive,
cakzya,cakz,gerund,
cacya,caYc,gerund,
caYcitum,caYc,infinitive,
cawitum,caw,infinitive,
cawya,caw,gerund,
canditum,cand,infinitive,
candya,cand,gerund,
capayitum,ci,infinitive,caus
capya,ci,gerund,caus
camitum,cam,infinitive,
camya,cam,gerund,
cayayitum,ci,infinitive,caus
cayya,ci,gerund,caus
caritum,car,infinitive,
carcayitum,carca,infinitive,
carcya,carca,gerund,
cartum,car,infinitive,
carya,car,gerund,
calitum,cal,infinitive,
calya,cal,gerund,
cAtayitum,cat,infinitive,caus
cAtya,cat,gerund,caus
cApayitum,ci,infinitive,caus
cApya,ci,gerund,caus
cAyayitum,ci,infinitive,caus
cAyya,ci,gerund,caus
cArayitum,car,infinitive,caus
cArya,car,gerund,caus
cAlayitum,cal,infinitive,caus
cAlya,cal,gerund,caus
cikitsitum,cit#1,infinitive,desid
cikitsya,cit#1,gerund,desid
cikIrzitum,kf#1,infinitive,desid
cikIrzya,kf#1,gerund,desid
cikIzitum,ci,infinitive,desid
cikIzya,ci,gerund,desid
cikrIzitum,krI,infinitive,desid
cikrIzya,krI,gerund,desid
cicIzitum,ci,infinitive,desid
cicIzya,ci,gerund,desid
citya,cit#1,gerund,
citya,ci,gerund,
citrIyitum,citra,infinitive,
citrya,citra,gerund,
cintayitum,cint,infinitive,
cintya,cint,gerund,
cukzUzitum,kzu,infinitive,desid
cukzUzya,kzu,gerund,desid
cudya,cud,gerund,
cumbitum,cumb,infinitive,
cumbya,cumb,gerund,
curayya,cur,gerund,
cUrRayitum,cUrRa,infinitive,
cUrRya,cUrRa,gerund,
cUzitum,cUz,infinitive,
cUzya,cUz,gerund,
cetayitum,cit#1,infinitive,caus
cetitum,cit#1,infinitive,
cetum,ci,infinitive,
cetya,cit#1,gerund,caus
cezwayitum,cezw,infinitive,caus
cezwitum,cezw,infinitive,
cezwya,cezw,gerund,
codayitum,cud,infinitive,caus
codya,cud,gerund,caus
copayitum,kup,infinitive,caus
copya,kup,gerund,caus
corayitum,cur,infinitive,
cyutya,cyu,gerund,
cyotum,cyu,infinitive,
Caditum,Cad#1,infinitive,
Cadya,Cad#1,gerund,
Candayitum,Cand,infinitive,caus
Canditum,Cand,infinitive,
Candya,Cand,gerund,
Calayitum,Cala,infinitive,
Calya,Cala,gerund,
CAdayitum,Cad#1,infinitive,caus
CAdya,Cad#1,gerund,caus
Cidya,Cid#1,gerund,
Cidrayitum,Cidra,infinitive,
Cidrya,Cidra,gerund,
Curayitum,Cur,infinitive,caus
Curya,Cur,gerund,caus
Cettum,Cid#1,infinitive,
Cedayitum,Cid#1,infinitive,caus
Cedya,Cid#1,gerund,caus
jagDum,jakz,infinitive,
jaGya,jakz,gerund,
janayitum,jan,infinitive,caus
janayya,jan,gerund,caus
janitum,jan,infinitive,
japitum,jap,infinitive,
japya,jap,gerund,
jaBitum,jaB#1,infinitive,
jaBitum,jaB#2,infinitive,
jaBya,jaB#1,gerund,
jaBya,jaB#2,gerund,
jamitum,jam,infinitive,
jamya,jam,gerund,
jayitum,ji,infinitive,
jarayitum,jF,infinitive,caus
jaritum,jF,infinitive,
jarItum,jF,infinitive,
jarya,jF,gerund,caus
jalAyitum,jala,infinitive,
jalpitum,jalp,infinitive,
jalpya,jalp,gerund,
jalya,jala,gerund,
javitum,jU,infinitive,
jasitum,jas,infinitive,
jasya,jas,gerund,
jahitum,hA#1,infinitive,
jAgarayitum,jAgf,infinitive,caus
jAgartum,jAgf,infinitive,
jAgartya,jAgf,gerund,
jAgarya,jAgf,gerund,caus
jAtum,jan,infinitive,
jApayitum,ji,infinitive,caus
jApya,ji,gerund,caus
jAya,jan,gerund,
jAsayitum,jas,infinitive,caus
jAsya,jas,gerund,caus
jigadizitum,gad,infinitive,desid
jigadizya,gad,gerund,desid
jigamizitum,gam,infinitive,desid
jigamizya,gam,gerund,desid
jigIzitum,ji,infinitive,desid
jigIzya,ji,gerund,desid
jiGAMsitum,han#1,infinitive,desid
jiGAMsya,han#1,gerund,desid
jiGfkzitum,grah,infinitive,desid
jiGfkzya,grah,gerund,desid
jijIvizitum,jIv,infinitive,desid
jijIvizya,jIv,gerund,desid
jijYAsitum,jYA#1,infinitive,desid
jijYAsya,jYA#1,gerund,desid
jitya,ji,gerund,
jinvitum,jinv,infinitive,
jinvya,jinv,gerund,
jihIrzitum,hf#1,infinitive,desid
jihIrzya,hf#1,gerund,desid
jIya,jyA#1,gerund,
jIrya,jF,gerund,
jIvitum,jIv,infinitive,
jIvya,jIv,gerund,
jugupsitum,gup,infinitive,desid
jugupsya,gup,gerund,desid
juzya,juz#1,gerund,
juhUzitum,hu,infinitive,desid
juhUzya,hu,gerund,desid
jUya,jU,gerund,
jfmBitum,jfmB,infinitive,
jfmBya,jfmB,gerund,
jetum,ji,infinitive,
jozayitum,juz#1,infinitive,caus
jozitum,juz#1,infinitive,
jozya,juz#1,gerund,caus
jYapayitum,jYA#1,infinitive,caus
jYapya,jYA#1,gerund,caus
jYAtum,jYA#1,infinitive,
jYApayitum,jYA#1,infinitive,caus
jYAptum,jYA#1,infinitive,caus
jYApya,jYA#1,gerund,caus
jYAya,jYA#1,gerund,
jyAtum,jyA#1,infinitive,
jyutya,jyut,gerund,
jyotayitum,jyut,infinitive,caus
jyotitum,jyut,infinitive,
jyotya,jyut,gerund,caus
jvaritum,jvar,infinitive,
jvarya,jvar,gerund,
jvalayitum,jval,infinitive,caus
jvalayya,jval,gerund,caus
jvalitum,jval,infinitive,
jvalya,jval,gerund,
qambayitum,qamb,infinitive,
qambya,qamb,gerund,
qayitum,qI,infinitive,
qIya,qI,gerund,
takitum,tak,infinitive,
takya,tak,gerund,
takzitum,takz,infinitive,
takzya,takz,gerund,
taNktum,taYc,infinitive,
tacya,taYc,gerund,
taYcitum,taYc,infinitive,
tatya,tan#1,gerund,
tanitum,tan#1,infinitive,
tanitum,tan#2,infinitive,
tantrayitum,tantra,infinitive,
tantrya,tantra,gerund,
tandrayitum,tandr,infinitive,
tandrya,tandr,gerund,
tanya,tan#1,gerund,
tanya,tan#2,gerund,
tapaya,tapas,gerund,
tapasyitum,tapas,infinitive,
tapitum,tap,infinitive,
taptum,tap,infinitive,
tapya,tap,gerund,
tamitum,tam,infinitive,
tamya,tam,gerund,
taritum,tF,infinitive,
tarItum,tF,infinitive,
taruRayitum,taruRa,infinitive,
taruRAyitum,taruRa,infinitive,
taruRya,taruRa,gerund,
tarkayitum,tark,infinitive,
tarkya,tark,gerund,
tarjayitum,tarj,infinitive,caus
tarjitum,tarj,infinitive,
tarjya,tarj,gerund,
tarditum,tfd,infinitive,
tarpayitum,tfp#1,infinitive,caus
tarptum,tfp#1,infinitive,
tarpya,tfp#1,gerund,caus
tarzam,tfz,gerund,
tarzitum,tfz,infinitive,
tavizIyitum,taviza,infinitive,
tavizya,taviza,gerund,
tAqayitum,taq,infinitive,caus
tAqya,taq,gerund,caus
tApayitum,tap,infinitive,caus
tApya,tap,gerund,caus
tArayitum,tF,infinitive,caus
tArya,tF,gerund,caus
tijya,tij,gerund,
titikzitum,tij,infinitive,desid
titikzya,tij,gerund,desid
titIrzitum,tF,infinitive,desid
titIrzya,tF,gerund,desid
tiraya,tiras,gerund,
tirasyitum,tiras,infinitive,
tIrya,tF,gerund,
tudya,tud#1,gerund,
tupya,tup,gerund,
tulayitum,tul,infinitive,
tulayya,tul,gerund,
