root,hom,class,voice
aMS,,10,para
aMh,1,1,atma
aMh,1,10,para
ak,,1,para
akz,,1,atma
akz,,5,atma
ag,,1,para
aG,,10,para
aGaya,,denom,para
aGAya,,denom,para
aNk,,1,atma
aNk,,10,para
aNkAya,,denom,atma
aNkuraya,,denom,para
aNkurAya,,denom,atma
aNK,,10,para
aNg,,1,para
aNg,,10,para
aNG,,1,atma
ac,1,1,para
aj,,1,para
ajirAya,,denom,atma
aYc,1,1,para
aYc,1,10,para
aYj,,7,para
aw,,1,para
awAya,,denom,atma
aww,,1,atma
aww,,10,para
awwAya,,denom,atma
aW,,1,para
aW,,1,atma
aq,1,1,para
aqq,,1,para
aR,,1,para
aR,,4,atma
aRW,,1,atma
aRqarAya,,denom,atma
at,2,1,para
atirAjaya,,denom,para
ad,1,2,para
aDaraya,,denom,para
aDvarIya,,denom,para
an,2,2,para
analAya,,denom,atma
anukUlaya,,denom,para
ant,,1,para
antaya,,denom,para
and,,1,para
andolaya,,denom,para
anD,,10,para
annIya,,denom,para
anyaTaya,,denom,para
aparokzaya,,denom,para
apuvAya,,denom,atma
apUpIya,2,denom,para
apsarAya,,denom,atma
aBimuKaya,,denom,para
aBr,,1,para
aBrAya,,denom,atma
amalaya,,denom,para
amitraya,,denom,para
amitrAya,,denom,atma
amftAya,,denom,atma
amb,,1,para
amb,,1,atma
arajAya,,denom,atma
arahAya,,denom,atma
arAtIya,,denom,para
aruRaya,,denom,para
arkaya,,denom,para
arG,,1,para
arc,1,1,para
arj,,1,para
arT,,10,atma
arT,,1,atma
arTApaya,,denom,para
ard,,6,para
ard,,1,para
arDaya,,denom,para
arb,,1,para
arv,,1,para
arh,,1,para
al,,1,para
alIkAya,,denom,atma
alpaya,,denom,para
av,,1,para
aSanAya,,denom,para
aSanIya,,denom,para
aSAya,,denom,atma
aSAya,,denom,atma
aSezaya,,denom,para
aSnItapibatIya,,denom,para
aSvaya,,denom,atma
aSvAya,,denom,para
aSvIya,1,denom,para
az,,1,para
as,1,2,para
as,2,4,para
astrAya,,denom,atma
asmaya,,denom,para
asrAya,,denom,atma
ah,2,5,para
Akulaya,,denom,para
AKyAnaya,,denom,para
AtapAya,,denom,atma
AnAyAya,,denom,atma
Andolaya,,denom,para
Ap,1,5,para
Ar,1,4,para
ArAgaya,,denom,para
Ardraya,,denom,para
Avilaya,,denom,para
As,2,2,atma
AhAraya,,denom,para
AhvAnaya,,denom,para
i,5,2,para
iK,,1,para
iK,,1,para
iNK,,1,para
iNK,,1,para
iNg,,1,para
iw,,1,para
ind,,1,para
indraya,,denom,atma
inD,,7,atma
inv,,6,para
inv,,8,para
inv,,9,para
ir,,6,para
il,,6,para
il,,10,para
iz,1,1,para
iz,1,4,para
iz,3,6,para
izaRaya,,denom,atma
izaya,,denom,atma
Ikz,,1,atma
IK,,1,para
INK,,1,para
Ij,,1,para
IYj,,1,para
Iq,1,2,atma
Int,,1,para
Ir,,2,atma
Irkzy,,1,para
Irzy,,1,para
IS,1,2,atma
Iz,1,1,atma
Ih,,1,atma
u,4,5,para
u,4,2,atma
u,4,1,atma
ukz,1,1,para
uK,,1,para
uNK,,6,para
uc,,4,para
uC,1,1,para
uC,2,1,para
ujJ,,6,para
uYC,,1,para
uYC,,6,para
uW,,1,para
utkacaya,,denom,para
utkaya,,denom,para
utkAya,,denom,atma
utkorakaya,,denom,para
utkoSaya,,denom,para
uttaMsaya,,denom,para
uttaraMgaya,,denom,para
uttaraya,,denom,para
uttaralAya,,denom,atma
utpuMsaya,,denom,para
utpucCaya,,denom,atma
utsukAya,,denom,atma
utsvapnAya,,denom,atma
ud,2,7,para
ud,2,6,para
udakIya,,denom,para
udaDIya,,denom,para
udaSraya,,denom,para
udAttaya,,denom,para
udAnaya,,denom,para
uddAmaya,,denom,para
udvelaya,,denom,para
uDras,1,9,para
uDras,2,10,para
und,2,7,para
und,2,6,para
unnidraya,,denom,para
unmanaya,,denom,para
unmanAya,,denom,atma
upasargaya,,denom,para
upahastaya,,denom,para
upozaya,,denom,para
ubj,,6,para
uB,,9,para
uB,,6,para
ulaq,,10,para
ullAGaya,,denom,para
uz,1,1,para
uz,1,9,para
uzRaya,,denom,para
uzmAya,,denom,atma
usrIya,,denom,para
uh,,1,para
UQaya,,denom,para
Unaya,,denom,para
Uy,,1,atma
UrRu,,2,para
Urd,,1,atma
UrDvAya,,denom,atma
Urv,,1,para
Uz,,1,para
UzarAya,,denom,atma
UzmAya,,denom,atma
Uh,1,1,para
Uh,2,1,para
f,4,1,para
f,4,3,para
f,4,5,para
fGAya,,denom,atma
fc,1,6,para
fC,,6,para
fj,,1,para
fYj,1,1,atma
fYj,2,6,para
fYj,2,4,para
fYj,2,7,atma
fR,,8,para
ftaya,,denom,atma
ftAya,,denom,para
fD,,6,para
fD,,2,para
fD,,4,para
fD,,5,para
fD,,7,para
fP,,6,para
fmP,,6,para
fz,1,1,para
fz,2,6,para
ej,,1,para
ej,,1,atma
eW,,1,atma
eqakIya,,denom,para
eD,,1,atma
elAya,,denom,para
ez,1,1,para
oK,,1,para
oj,,1,para
oj,,10,para
ojAya,,denom,atma
oR,,1,para
odanIya,1,denom,para
olaRq,,1,para
olaRq,,8,para
olaRq,,10,para
OrvAya,,denom,atma
kaMs,,2,atma
kak,,1,atma
kakzAya,,denom,atma
kaK,,1,para
kag,,1,para
kaNk,,1,atma
kac,,1,para
kaj,,1,para
kaYc,,1,atma
kaw,1,1,para
kaw,2,1,para
kawakawApaya,,denom,para
kawakawAya,,denom,atma
kaww,,10,para
kaW,,1,para
kaWinaya,,denom,para
kaWoraya,,denom,para
kaq,,1,para
kaq,,6,para
kaqq,,1,para
kaR,,1,para
kaR,,10,para
kaRUkaya,,denom,para
kaRw,,1,para
kaRW,,1,para
kaRW,,10,para
kaRq,,1,para
kaRq,,10,para
kaRvAya,,denom,atma
katT,,1,atma
katr,,10,para
kaT,,10,para
kaTApaya,,denom,para
kad,1,1,atma
kan,,1,para
kanaya,,denom,para
kand,,1,para
kandalaya,,denom,para
kandukAya,,denom,atma
kapilAya,,denom,atma
kapiSaya,,denom,para
kaPoRiguqAya,,denom,atma
kab,,1,atma
kam,2,1,atma
kamp,,1,atma
kampAya,,denom,atma
kamb,,1,para
karalAya,,denom,atma
karuRAya,,denom,atma
karj,,1,para
karR,,10,para
kartr,,10,para
kartrIya,,denom,para
kard,,1,para
karb,,1,para
karv,,1,para
kal,1,1,atma
kal,2,10,para
kalaNkaya,,denom,para
kalaya,1,denom,para
kalahAya,,denom,atma
kaluzaya,,denom,para
kaluzAya,,denom,atma
kall,,1,atma
kav,,1,atma
kav,,10,para
kavalaya,,denom,para
kaS,,1,para
kaz,,1,para
kazwAya,,denom,atma
kas,1,1,para
kAMs,,1,atma
kANkz,,1,para
kAYc,,1,atma
kAntAya,,denom,atma
kAmukAya,,denom,atma
kArmukAya,,denom,atma
kAlaya,,denom,para
kAS,,1,atma
kAS,,4,para
kAs,1,1,atma
ki,2,3,para
kiw,,1,para
kiwakiwApaya,,denom,para
kiwakiwAya,,denom,atma
kit,,3,para
kil,,6,para
kil,,10,para
kilakilAya,,denom,atma
kilikilaya,,denom,para
kilikilAya,,denom,atma
kizk,,10,atma
kisalaya,2,denom,para
kIw,,10,para
kIrt,,10,para
kIl,,1,para
kuMS,,1,para
kuMS,,10,para
kuMs,,1,para
kuMs,,10,para
kuk,,1,atma
kuc,,1,para
kuc,,6,para
kuj,,1,para
kuj,,6,para
kuYc,,1,para
kuYj,,1,para
kuw,,6,para
kuw,,4,para
kuw,,10,atma
kuwIya,,denom,para
kuwumbaya,,denom,para
kuww,,10,para
kuq,,6,para
kuqmalAya,,denom,atma
kuR,,6,para
kuR,,10,para
kuRW,,1,para
kuRq,,1,para
kuRq,,1,atma
kuts,,10,para
kuts,,1,para
kuts,,4,para
kuT,,4,para
kud,,10,para
kunT,,1,para
kunT,,9,para
kundr,,10,para
kup,1,4,para
kup,2,10,para
kumAraya,,denom,para
kumb,,6,para
kumb,,10,para
kur,,6,para
kuraNgAya,,denom,atma
kurkurIya,,denom,para
kul,,1,para
kuliSAya,,denom,atma
kulyAya,,denom,atma
kuS,,4,para
kuz,,9,para
kusumaya,,denom,para
kuh,1,10,atma
kuhukuhAya,,denom,atma
kU,1,2,para
kU,1,1,atma
kU,1,6,para
kU,1,9,para
kUj,,1,para
kUw,,10,para
kUq,1,6,para
kUq,2,10,para
kUR,,1,para
kUp,,10,para
kUpAya,,denom,atma
kUrd,,1,para
kUl,1,1,para
kf,1,2,para
kf,1,1,para
kf,1,5,para
kf,1,8,para
kf,2,3,para
kfcCrAya,,denom,atma
kft,2,6,para
kft,2,1,para
kft,3,7,para
kftaya,,denom,para
kfp,2,6,atma
kfp,2,10,para
kfpaRAya,,denom,atma
kfpaya,,denom,para
kfpAya,,denom,para
kfS,,4,para
kfz,1,1,para
kfz,1,6,para
kfzRAya,,denom,atma
kF,1,6,para
kF,2,5,para
kF,2,9,para
kF,3,10,atma
kxp,,1,atma
kekAya,,denom,atma
ketaya,,denom,para
kep,,1,atma
keyUrAya,,denom,atma
kel,,1,para
kelAya,,denom,atma
kev,,1,atma
kesarAya,,denom,atma
kE,,1,para
kowAya,,denom,atma
kopAya,,denom,atma
knaMs,,1,para
knaMs,,10,para
knaT,,1,para
knas,,4,para
knu,,9,para
knU,,9,para
knUy,,1,atma
kmar,,1,para
kraMS,,1,para
kraT,,1,para
krand,,1,para
krap,,1,atma
kram,,1,para
kram,,4,para
krI,1,9,para
krIq,,1,para
kruYc,1,1,para
kruq,,6,para
kruq,,10,para
kruD,1,4,para
kruS,,1,para
klaT,,1,para
kland,,1,para
klam,,1,para
klam,,4,para
klav,,1,atma
klid,,4,atma
klind,1,1,para
kliS,,9,para
kliS,,4,para
klIb,,1,atma
klIb,,10,atma
klIbAya,,denom,atma
klu,,1,atma
kleS,,1,atma
kvaR,,1,para
kvaT,,1,atma
kzaj,,1,atma
kzaj,,10,para
kzad,1,1,atma
kzan,1,8,para
kzap,1,1,para
kzap,2,10,para
kzam,1,1,atma
kzam,1,2,para
kzam,1,4,para
kzamApaya,,denom,atma
kzamp,,1,para
kzamp,,10,para
kzar,,1,para
kzar,,2,para
kzal,2,10,para
kzi,1,1,para
kzi,2,2,para
kzi,2,6,para
kzi,4,1,para
kzi,4,5,para
kzi,4,9,para
kziR,,8,para
kzip,1,6,para
kzip,1,4,para
kziv,,1,para
kziv,,4,para
kzIj,,1,para
kzIb,,1,para
kzIrAya,,denom,para
kzIrIya,,denom,para
kzu,1,2,para
kzud,1,1,para
kzud,1,7,para
kzuD,1,4,para
kzup,,6,para
kzuB,1,1,atma
kzuB,1,4,para
kzuB,1,5,para
kzuB,1,9,para
kzump,,1,para
kzur,,6,para
kzetrIya,,denom,para
kzepAya,,denom,atma
kzE,,1,para
kzow,,10,para
kzRu,,2,para
kzmAy,,1,atma
kzmIl,,1,para
kzviq,1,1,para
kzviq,2,1,atma
kzviq,2,4,para
kzvel,,1,para
Kac,,1,para
Kac,,9,para
Kac,,10,para
Kaj,,1,para
KaYj,1,1,para
Kaw,1,1,para
KawaKawAya,,denom,atma
Kaww,,10,para
Kawvaya,,denom,para
KawvIya,,denom,para
Kaq,,10,para
KaRaKaRAya,,denom,atma
KaRq,,1,atma
KaRq,,10,para
Kad,,6,para
Kan,,1,para
Kamb,,1,para
Karj,,1,para
Kard,,1,para
Karb,,1,para
Karv,,1,para
Karvaya,,denom,para
Kal,,1,para
KalaKalAya,,denom,atma
KalAya,,denom,atma
Kall,,1,atma
Kav,,9,para
Kaz,,1,para
KAd,,1,para
Kiw,,1,para
Kid,,6,atma
Kid,,7,atma
Kid,,4,atma
Ku,,1,atma
Kuj,,1,para
KuRq,,1,atma
KuRq,,10,para
Kud,,6,para
Kur,,6,para
KuruKurAya,,denom,atma
Kurd,,1,atma
Kew,,10,para
Kel,,1,para
KelAya,,denom,para
KE,,1,para
Kow,,1,para
Kow,,10,para
Koq,,1,para
Koq,,10,para
Kor,,1,para
KyA,,2,para
gaj,,1,para
gaj,,10,para
gaYj,,1,para
gaq,,1,para
gaq,,10,para
gaR,,10,para
gaRq,,1,para
gaRqUzaya,,denom,para
gad,,1,para
gad,,10,para
gadAya,,denom,atma
gaD,,4,para
ganD,,10,atma
gam,1,1,para
gam,1,2,para
gam,1,3,para
gamb,,1,para
garj,,1,para
gard,,1,para
garb,,1,para
garv,,1,para
garv,,10,atma
garvaya,,denom,para
garh,,1,para
garh,,10,para
gal,1,1,para
gal,2,1,para
galB,,1,atma
galBAya,,denom,atma
gavaya,1,denom,para
gah,,10,para
gahanAya,,denom,atma
gA,1,3,para
gA,1,2,para
gAtraya,,denom,atma
gAD,,1,atma
gArgIya,1,denom,atma
gAloqaya,,denom,atma
gAh,,1,atma
gu,1,1,atma
gu,3,1,atma
gu,4,6,para
guj,,1,para
guj,,6,para
guYj,,1,para
guq,,6,para
guRaya,,denom,para
guRAya,,denom,atma
guRW,,10,para
guRq,,10,para
gud,,1,atma
guD,,4,para
guD,,9,para
guD,,1,atma
gup,1,4,para
guP,,6,para
gumP,,6,para
gur,,6,atma
gur,,4,atma
gurd,,1,para
gurd,,10,para
gurv,2,1,para
guh,1,1,para
gUrd,,1,para
gUrd,,10,para
gUrd,,1,para
gUrD,,10,para
gf,,1,para
gfj,,1,para
gfD,,4,para
gfBAya,,denom,para
gfhaya,,denom,atma
gfhAya,2,denom,atma
gF,1,9,para
gF,2,6,para
gF,3,10,atma
gep,,1,atma
gev,,1,atma
gez,,1,atma
gehIya,,denom,para
gE,,1,para
gE,,2,para
gE,,3,para
goDAya,,denom,para
gopaya,,denom,atma
gopAya,1,denom,para
govaya,,denom,para
graT,1,9,para
graT,1,1,para
graT,2,1,atma
granT,1,9,para
granT,1,1,para
granT,2,1,atma
gras,1,1,para
grah,,9,para
grAmaya,,denom,para
gruc,,1,para
glas,,1,atma
glah,,1,atma
gluc,,1,para
gluYc,,1,para
glep,,1,atma
glev,,1,atma
glez,,1,atma
glE,,1,para
glE,,2,para
GaMz,,1,atma
GagG,,1,para
GaG,,1,para
Gaw,,1,atma
Gaww,,1,atma
Gaww,,10,para
GaR,,8,para
GaRw,,1,para
GaRw,,10,para
GanAya,,denom,atma
GanIya,,denom,para
Gamb,,1,atma
Gar,,10,para
Garb,,1,para
Gas,,1,para
GAtaya,,denom,atma
GiRR,,1,atma
Gu,1,1,atma
Guw,,6,para
Guw,,1,atma
Guq,,6,para
GuR,,6,para
GuR,,1,atma
GuRR,,1,atma
GumaGumAya,,denom,atma
Gur,,6,para
GuraGurAya,,denom,atma
GurGurAya,,denom,atma
Guz,1,1,para
Guz,2,1,para
GUr,,4,atma
GUrR,,1,para
Gf,1,3,para
Gf,1,1,para
Gf,1,10,para
Gf,2,3,para
Gf,2,5,para
Gf,2,8,para
GfRR,,1,atma
Gfz,2,1,para
Gol,,10,para
GrA,,1,para
GrA,,3,para
GrA,,2,para
Nu,,1,atma
cak,,1,para
cakAs,1,2,para
cakAs,1,1,atma
cakorAya,,denom,atma
cakk,,10,para
cakz,,2,atma
caG,,5,para
caYc,,1,para
caw,,1,para
cawulaya,,denom,para
cawulAya,,denom,atma
caR,,1,para
caRq,,1,atma
caRq,,10,atma
cat,,1,para
cad,,1,para
can,1,1,para
cand,,1,para
candrikAya,,denom,atma
cap,,1,para
cap,,10,para
cam,,1,para
cam,,5,para
camp,,10,para
camb,,1,para
cay,,1,atma
car,,1,atma
carG,,1,para
carc,,1,atma
carc,,10,atma
carb,,1,para
carv,,10,para
carv,,1,para
cal,,1,atma
caz,,1,para
cazakAya,,denom,atma
cah,,1,para
cah,,10,para
cAy,,1,atma
ci,1,5,atma
ci,2,3,atma
ci,2,5,atma
ci,3,1,para
cikk,,10,para
ciw,,1,para
cit,4,1,atma
cit,4,2,atma
cit,4,3,atma
cint,,10,para
cint,,1,para
ciraya,,denom,atma
cirAya,,denom,atma
ciri,2,5,para
cil,,6,para
cihnaya,,denom,para
cIv,,1,para
cIv,,10,para
cuw,,6,para
cuw,,10,para
cuw,,1,para
cuww,,10,para
cuq,,6,para
cuqq,,1,para
cuRw,,6,para
cuRw,,10,para
cuRw,,1,para
cuRW,,10,para
cuRq,,6,para
cuRq,,10,para
cuRq,,1,para
cud,,1,atma
cup,1,1,para
cumb,2,1,atma
cur,,10,para
cur,,1,para
cul,,10,para
culump,,1,para
cUR,,10,para
cUr,,4,para
cUr,,10,para
cUrR,,10,para
cUz,,1,para
cft,,6,para
cft,,1,para
cft,,10,para
cezw,,1,para
cyu,1,10,para
cyu,2,1,para
cyut,2,1,para
cyus,,10,para
Cad,1,1,atma
Cad,1,10,atma
Cad,3,10,atma
Cad,3,1,atma
Cam,,1,para
Cal,,10,para
Caz,,1,para
Cid,,7,atma
Cid,,9,atma
Cuw,,6,para
Cuw,,10,para
Cup,,6,para
Cur,,6,para
Cfd,,7,para
Cfd,,1,atma
Co,,4,para
Cyu,,1,atma
jaMs,,1,para
jaMs,,10,para
jakz,2,2,atma
jaNkz,,1,para
jaj,,1,para
jaYj,,1,para
jaw,,1,para
jan,,1,atma
jan,,10,atma
jan,,3,atma
jan,,4,atma
jan,,2,atma
jap,,1,atma
jaB,1,1,para
jaB,2,1,atma
jam,2,1,para
jamB,2,1,atma
jarc,,1,para
jarts,,1,para
jal,,1,para
jal,,10,para
jalp,,1,atma
jaz,,1,para
jas,,1,atma
jas,,4,para
jAgf,,2,atma
jAgf,,1,atma
ji,1,1,atma
ji,1,9,atma
jinv,,1,para
jim,,1,para
jiri,,5,para
jiz,,1,para
jIv,,1,atma
juNg,,1,para
juYc,,1,para
juYc,,10,para
juw,,6,para
juq,,6,para
juq,,10,para
jut,,1,atma
jun,,6,para
jur,1,4,para
jur,1,6,para
jul,,10,para
juz,1,6,atma
juz,1,3,para
juz,1,1,para
jU,1,1,atma
jU,1,9,para
jU,1,1,para
jUr,1,4,atma
jUr,2,4,atma
jUrv,,1,para
jUz,,1,para
jf,1,1,para
jf,2,1,atma
jfmB,,1,atma
jF,1,1,para
jF,1,4,para
jF,1,1,atma
jF,1,9,atma
jF,1,10,atma
jF,2,1,atma
jez,,1,atma
jeh,,1,atma
jE,,1,para
jYA,1,9,para
jYA,1,3,atma
jyA,1,9,para
jyA,1,4,atma
jyu,,1,atma
jyut,,1,atma
jyo,,1,atma
jri,1,1,para
jri,3,1,para
jri,3,9,para
jri,3,10,para
jrI,,1,para
jrI,,9,para
jrI,,10,para
jvar,,1,para
jval,,1,para
JagaJagAya,,denom,atma
Jaw,,1,para
JaR,,1,para
JaRaJaRAya,,denom,atma
Jam,,1,para
Jarc,,1,para
JarC,,1,para
JarJ,,1,para
Jaz,,1,atma
Ju,,1,atma
JUz,,1,para
JF,,4,para
JF,,9,para
Jyu,,1,atma
waNk,,10,para
wal,,1,para
wik,,1,atma
wip,,10,para
wIk,,1,atma
wOk,,1,atma
wval,,1,para
qap,,10,atma
qam,,1,para
qamp,,10,atma
qamb,,10,para
qamB,,10,atma
qip,,10,atma
qip,,4,para
qip,,6,para
qip,,10,para
qimp,,10,atma
qimp,,4,para
qimp,,6,para
qimp,,10,para
qI,,1,atma
qI,,4,atma
QOk,,1,atma
taMs,,1,para
tak,,2,para
tak,,1,para
takz,1,1,para
takz,1,2,atma
takz,1,5,atma
taNk,,1,para
taNg,,1,para
taYc,1,1,para
taYc,2,7,para
taw,,1,para
tawAya,,denom,atma
taq,,10,para
taRq,,1,atma
tan,1,1,para
tan,1,10,para
tan,2,4,para
tan,3,8,para
tantraya,,denom,atma
tand,,1,atma
tandr,,1,para
tap,1,4,atma
tap,2,1,atma
tap,2,4,atma
tam,,4,atma
tamb,,1,para
tay,,1,atma
tark,,10,para
tarj,,1,atma
tard,,1,para
tarb,,1,para
tal,,1,para
tal,,10,para
tavizIya,,denom,atma
tas,1,4,para
tAy,,1,atma
tik,,1,para
tik,,5,para
tig,,5,para
tiG,,5,para
tij,,1,para
tip,,1,para
tim,,4,para
timiraya,,denom,para
timirAya,,denom,atma
tiraya,,denom,para
til,1,1,para
til,2,6,para
til,2,10,para
tilakaya,,denom,para
till,,1,para
tIk,,1,atma
tIm,,4,para
tIraya,,denom,para
tIv,,1,para
tu,1,2,para
tucCaya,,denom,para
