form,root,pos,modification
pItvA,pA#1,gerund,
pItvA,pA#2,gerund,
pItvA,pi#2,gerund,
pIyUzavarzAyitvA,pIyUzavarza,gerund,
putTvA,puT,gerund,
putrakAmyitvA,putrakAma,gerund,
putriyitvA,putra,gerund,
putrIyitvA,putra,gerund,
pupUrzitvA,pF,gerund,desid
pulakayitvA,pulaka,gerund,
puzkarAyitvA,puzkara,gerund,
puzwvA,puz#1,gerund,
puzpAyitvA,puzpa,gerund,
puzpyitvA,puzpa,gerund,
pUjayitvA,pUj,gerund,
pUtvA,pUy,gerund,
pUtvA,pU#1,gerund,
pUrayitvA,pF,gerund,caus
pUrtvA,pF,gerund,
pUlatvA,pUla,gerund,
pUlayitvA,pUla,gerund,
pfktvA,pfc,gerund,
pfTayitvA,pfT,gerund,
pfzwvA,pfz,gerund,
pfzwvA,praS,gerund,
poTayitvA,puT,gerund,caus
pozayitvA,puz#1,gerund,caus
pyAtvA,pyA,gerund,
pracCayitvA,praS,gerund,caus
pratikUlayitvA,pratikUla,gerund,
praTayitvA,praT,gerund,caus
praTitvA,praT,gerund,
prasAdayitvA,prasAda,gerund,
prAvayitvA,pru,gerund,caus
prAsAdIyitvA,prAsAda,gerund,
pritvA,pf#1,gerund,
priyAyitvA,priya,gerund,
prIRayitvA,prI,gerund,caus
prItvA,prI,gerund,
prUtvA,pru,gerund,
plAvayitvA,plu,gerund,caus
plutvA,plu,gerund,
pluzwvA,pluz,gerund,
PalitvA,Pal,gerund,
PullitvA,Pull,gerund,
PenAyitvA,Pena,gerund,
baMhayitvA,baMh,gerund,caus
banDayitvA,banD,gerund,caus
banDitvA,banD,gerund,
barhitvA,bfh#2,gerund,
bahitvA,baMh,gerund,
bADayitvA,bAD,gerund,caus
bADitvA,bAD,gerund,
bAzpAyitvA,bAzpa,gerund,
bIBatsitvA,bAD,gerund,desid
budDvA,buD#1,gerund,
buBukzitvA,Buj#2,gerund,desid
buButsitvA,buD#1,gerund,desid
buBUzitvA,BU#1,gerund,desid
buBodizitvA,buD#1,gerund,desid
buBoDizitvA,buD#1,gerund,desid
bfMhayitvA,bfh#1,gerund,caus
bfQvA,bfh#1,gerund,
bfQvA,bfh#2,gerund,
boDayitvA,buD#1,gerund,caus
BaktvA,Baj,gerund,
BaktvA,BaYj,gerund,
BakzayitvA,Bakz,gerund,caus
BakzitvA,Bakz,gerund,
BaYjayitvA,BaYj,gerund,caus
BaRitvA,BaR,gerund,
BaRqitvA,BaRq,gerund,
BanditvA,Band,gerund,
BartsayitvA,Barts,gerund,
BazwvA,Baz,gerund,
BasitvA,Bas,gerund,
BAtvA,BA#1,gerund,
BAyayitvA,BI#1,gerund,caus
BArayitvA,Bf,gerund,caus
BAvayitvA,BU#1,gerund,caus
BAzitvA,BAz,gerund,
BAsayitvA,BAs#1,gerund,caus
BAsitvA,BAs#1,gerund,
BikzitvA,Baj,gerund,desid
BittvA,Bid#1,gerund,
BizajyitvA,Bizaj,gerund,
BItvA,BI#1,gerund,
BIzayitvA,BI#1,gerund,caus
BuktvA,Buj#1,gerund,
BuktvA,Buj#2,gerund,
BuYjApayitvA,Buj#2,gerund,caus
BUtvA,BU#1,gerund,
BUzayitvA,BUz,gerund,caus
BUzitvA,BUz,gerund,
BftvA,Bf,gerund,
BfSAyitvA,BfSa,gerund,
BfzwvA,Bfjj,gerund,
BedayitvA,Bid#1,gerund,caus
BojayitvA,Buj#2,gerund,caus
BraMSayitvA,BraMS,gerund,caus
BraMSitvA,BraMS,gerund,
BramitvA,Bram,gerund,
BrazwvA,BraMS,gerund,
BrAjayitvA,BrAj,gerund,caus
BrAjitvA,BrAj,gerund,
BrAntvA,Bram,gerund,
BrAmayitvA,Bram,gerund,caus
maMhayitvA,maMh,gerund,caus
maktvA,majj,gerund,
majjayitvA,majj,gerund,caus
maRqayitvA,maRq,gerund,caus
maRqitvA,maRq,gerund,
mattvA,mad#1,gerund,
matvA,man,gerund,
maTitvA,manT,gerund,
madayitvA,mad#1,gerund,caus
maDusyitvA,maDu,gerund,
maDvasyitvA,maDu,gerund,
mantUyitvA,mantu,gerund,
mantrayitvA,mantra,gerund,
mandayitvA,mand#1,gerund,caus
manditvA,mand#1,gerund,
mardayitvA,mfd#1,gerund,caus
marDitvA,mfD,gerund,
marSayitvA,mfS,gerund,caus
marzayitvA,mfz,gerund,caus
malinayitvA,malina,gerund,
mahayitvA,mah,gerund,caus
mahitvA,mah,gerund,
mahitvA,maMh,gerund,
mahIyitvA,mahI#2,gerund,
mAMsIyitvA,mAMsa,gerund,
mAtvA,man,gerund,
mAdayitvA,mad#1,gerund,caus
mAnayitvA,man,gerund,caus
mApayitvA,mA#1,gerund,caus
mArayitvA,mf,gerund,caus
mArgayitvA,mArg,gerund,
mArjayitvA,mfj,gerund,caus
mArjitvA,mfj,gerund,
mAlayitvA,mAlA,gerund,
mAlyaguRAyitvA,mAlyaguRa,gerund,
mitTvA,miT,gerund,
mitvA,mi,gerund,
mitvA,mA#1,gerund,
militvA,mil,gerund,
miSrayitvA,miSra,gerund,
mizitvA,miz,gerund,
mizwvA,miz,gerund,
mIQvA,mih,gerund,
mItvA,mI,gerund,
mItvA,mA#3,gerund,
mItvA,mA#4,gerund,
mImAMsitvA,man,gerund,desid
mIlayitvA,mIl,gerund,caus
mIlitvA,mIl,gerund,
mukulayitvA,mukula,gerund,
muktvA,muc#1,gerund,
muKarayitvA,muKara,gerund,
mugDvA,muh,gerund,
muRqayitvA,muRqa,gerund,
muditvA,mud#1,gerund,
mudrayitvA,mudrA,gerund,
mumukzitvA,muc#1,gerund,desid
mumUrzitvA,mf,gerund,desid
muzitvA,muz#1,gerund,
muhitvA,muh,gerund,
mUQvA,muh,gerund,
mUtrayitvA,mUtra,gerund,
mUrcCitvA,mUrcC,gerund,
mUrCayitvA,mUrC,gerund,caus
mUrCitvA,mUrC,gerund,
mfgayitvA,mfga,gerund,
mfwwvA,mfq,gerund,
mfqayitvA,mfq,gerund,
mfttvA,mfd#1,gerund,
mftvA,mf,gerund,
mfdDvA,mfD,gerund,
mfzAyitvA,mfzA,gerund,
mfzwvA,mfz,gerund,
mfzwvA,mfj,gerund,
mfzwvA,mfS,gerund,
meGAyitvA,meGa,gerund,
meDayitvA,meDA,gerund,
melApayitvA,mil,gerund,caus
melitvA,mil,gerund,
mezitvA,miz,gerund,
mokzayitvA,mokz,gerund,
mokzitvA,mokz,gerund,
mocayitvA,muc#1,gerund,caus
modayitvA,mud#1,gerund,caus
moditvA,mud#1,gerund,
mozitvA,muz#1,gerund,
mohayitvA,muh,gerund,caus
mohitvA,muh,gerund,
mnAtvA,mnA,gerund,
mreqayitvA,mreq,gerund,caus
mlAtvA,mlA,gerund,
mlizwvA,mlecC,gerund,
mlecCitvA,mlecC,gerund,
mlezwvA,mlecC,gerund,
yatitvA,yat#1,gerund,
yattvA,yat#1,gerund,
yatvA,yam,gerund,
yantrayitvA,yantra,gerund,
yabDvA,yaB,gerund,
yamayitvA,yam,gerund,caus
yasitvA,yas,gerund,
yastvA,yas,gerund,
yAcitvA,yAc,gerund,
yAjayitvA,yaj#1,gerund,caus
yAtayitvA,yat#1,gerund,caus
yAtvA,yA#1,gerund,
yApayitvA,yA#1,gerund,caus
yAvayitvA,yu#2,gerund,caus
yiyakzitvA,yaj#1,gerund,desid
yiyatizitvA,yat#1,gerund,desid
yiyAsitvA,yA#1,gerund,desid
yuktvA,yuj#1,gerund,
yutvA,yu#1,gerund,
yutvA,yu#2,gerund,
yudDvA,yuD#1,gerund,
yuyukzitvA,yuj#1,gerund,desid
yuyutsitvA,yuD#1,gerund,desid
yojayitvA,yuj#1,gerund,caus
raMhitvA,raMh,gerund,
raktvA,raYj,gerund,
rakzayitvA,rakz,gerund,caus
rakzitvA,rakz,gerund,
racayitvA,rac,gerund,
raYjayitvA,raYj,gerund,caus
raYjitvA,raYj,gerund,
raRitvA,raR,gerund,
rattvA,rad,gerund,
ratvA,ram,gerund,
raTakAmyitvA,raTakAma,gerund,
radDvA,raD,gerund,
raDitvA,raD,gerund,
ranDayitvA,raD,gerund,caus
rabDvA,raB,gerund,
ramayitvA,ram,gerund,caus
ramitvA,ram,gerund,
rasayitvA,rasa,gerund,
rahayitvA,rah,gerund,
rAjayitvA,rAj#1,gerund,caus
rAjitvA,rAj#1,gerund,
rAjIyitvA,rAjan,gerund,
rAtvA,rA#1,gerund,
rAdDvA,rAD,gerund,
rADayitvA,rAD,gerund,caus
rAmayitvA,ram,gerund,caus
riktvA,ric,gerund,
ripsitvA,raB,gerund,desid
riraMsitvA,ram,gerund,desid
rirakzizitvA,rakz,gerund,desid
rirADayizitvA,rAD,gerund,desid
rizitvA,riz,gerund,
rizwvA,riz,gerund,
rItvA,ri,gerund,
ruktvA,ruj#1,gerund,
rucitvA,ruc#1,gerund,
rutvA,ru,gerund,
ruditvA,rud#1,gerund,
rudDvA,ruD#1,gerund,
rudDvA,ruD#2,gerund,
rurukzitvA,ruh#1,gerund,desid
ruzitvA,ruz#1,gerund,
ruzwvA,ruz#1,gerund,
rUkzayitvA,rUkza,gerund,
rUQvA,ruh#1,gerund,
rUpayitvA,rUp,gerund,
recayitvA,ric,gerund,caus
rezayitvA,riz,gerund,caus
rezitvA,riz,gerund,
rocayitvA,ruc#1,gerund,caus
rocitvA,ruc#1,gerund,
rodayitvA,rud#1,gerund,caus
roditvA,rud#1,gerund,
roDayitvA,ruD#2,gerund,caus
ropayitvA,ruh#1,gerund,caus
romanTAyitvA,romanTa,gerund,
rozayitvA,ruz#1,gerund,caus
rozitvA,ruz#1,gerund,
rohayitvA,ruh#1,gerund,caus
laktvA,lag,gerund,
lakzayitvA,lakz,gerund,
lagitvA,lag,gerund,
laGayitvA,laGa,gerund,
laNgitvA,laNg,gerund,
laNGayitvA,laNG,gerund,caus
laNGitvA,laNG,gerund,
lajjayitvA,lajj,gerund,caus
lajjitvA,lajj,gerund,
lapitvA,lap,gerund,
labDvA,laB,gerund,
lambitvA,lamb,gerund,
lamBayitvA,laB,gerund,caus
lalitvA,lal,gerund,
lavaRasyitvA,lavaRa,gerund,
lazitvA,laz,gerund,
lasitvA,las,gerund,
lAYCitvA,lAYC,gerund,
lApayitvA,lap,gerund,caus
lAlayitvA,lal,gerund,caus
lAlAyitvA,lAlA,gerund,
lAzayitvA,laz,gerund,caus
lAsayitvA,las,gerund,caus
liKitvA,liK,gerund,
liptvA,lip,gerund,
lipsitvA,laB,gerund,desid
lilazizitvA,laz,gerund,desid
lizwvA,liS,gerund,
lIQvA,lih#1,gerund,
lItvA,lI,gerund,
luRWayitvA,luRW,gerund,caus
luRWitvA,luRW,gerund,
luptvA,lup,gerund,
lubDvA,luB,gerund,
luBitvA,luB,gerund,
lulitvA,lul,gerund,
lUtvA,lU#1,gerund,
leKayitvA,liK,gerund,caus
leKitvA,liK,gerund,
lepayitvA,lip,gerund,caus
lelAyitvA,lelA,gerund,
lokayitvA,lok,gerund,
lokitvA,lok,gerund,
locitvA,loc,gerund,
loWayitvA,luRW,gerund,caus
loBayitvA,luB,gerund,caus
loBitvA,luB,gerund,
lolitvA,lul,gerund,
lohitAyitvA,lohita,gerund,
vakzayitvA,vakz,gerund,caus
vaNktvA,vaYc,gerund,
vaYcayitvA,vaYc,gerund,caus
vaYcitvA,vaYc,gerund,
vatvA,van,gerund,
vaditvA,vad,gerund,
vanditvA,vand,gerund,
varayitvA,vf#2,gerund,caus
varitvA,vf#2,gerund,
varivasyitvA,varivas,gerund,
varItvA,vf#2,gerund,
varjayitvA,vfj,gerund,caus
varRayitvA,varRa,gerund,
vartayitvA,vft#1,gerund,caus
varDayitvA,vfD#1,gerund,caus
varDitvA,vfD#1,gerund,
varzayitvA,vfz,gerund,caus
varzitvA,vfz,gerund,
varhitvA,vfh,gerund,
valayitvA,val,gerund,caus
valitvA,val,gerund,
valgitvA,valg,gerund,
valgUyitvA,valgu,gerund,
vasitvA,vas#1,gerund,
vasitvA,vas#2,gerund,
vasitvA,vas#4,gerund,
vAcayitvA,vac,gerund,caus
vAcyitvA,vAc,gerund,
vAYCitvA,vAYC,gerund,
vAtvA,vA#2,gerund,
vAdayitvA,vad,gerund,caus
vAntvA,vam,gerund,
vApayitvA,vA#2,gerund,caus
vApayitvA,vap#2,gerund,caus
vArayitvA,vf#1,gerund,caus
vASitvA,vAS,gerund,
vAsayitvA,vAsa#3,gerund,
vAsayitvA,vas#1,gerund,caus
vAsayitvA,vas#2,gerund,caus
vAhayitvA,vah#1,gerund,caus
viktvA,vic,gerund,
viktvA,vij,gerund,
vittvA,vid#2,gerund,
viditvA,vid#1,gerund,
vidDvA,viD#1,gerund,
vidDvA,vyaD,gerund,
vipitvA,vip,gerund,
vimanAyitvA,vimanA,gerund,
vivakzitvA,vac,gerund,desid
vivatsitvA,vas#1,gerund,desid
vivikzitvA,vic,gerund,desid
vivikzitvA,viS#1,gerund,desid
vivitsitvA,vid#1,gerund,desid
vividizitvA,vid#1,gerund,desid
viSadayitvA,viSada,gerund,
vizAyitvA,vizA,gerund,
vizwvA,viz#1,gerund,
vizwvA,viS#1,gerund,
vIktvA,vIj,gerund,
vItvA,vI#1,gerund,
vItvA,vyA,gerund,
vfktvA,vfj,gerund,
vfQvA,vfh,gerund,
vfttvA,vft#1,gerund,
vftvA,vf#1,gerund,
vftvA,vf#2,gerund,
vfdDvA,vfD#1,gerund,
vfzasyitvA,vfza,gerund,
vfzIyitvA,vfza,gerund,
vfzwvA,vfz,gerund,
vfzwvA,vraSc,gerund,
vecayitvA,vic,gerund,caus
vejayitvA,vij,gerund,caus
vedayitvA,vid#1,gerund,caus
veditvA,vid#1,gerund,
venitvA,ven,gerund,
vepayitvA,vip,gerund,caus
vepitvA,vip,gerund,
veSayitvA,viS#1,gerund,caus
vezayitvA,viz#1,gerund,caus
vezwayitvA,vezw,gerund,caus
vezwitvA,vezw,gerund,
vErAyitvA,vEra,gerund,
vyaTayitvA,vyaT,gerund,caus
vyaTitvA,vyaT,gerund,
vyADayitvA,vyaD,gerund,caus
vrajitvA,vraj,gerund,
vraRayitvA,vraRa,gerund,
vraScayitvA,vraSc,gerund,caus
vrIqitvA,vrIq,gerund,
SaMsayitvA,SaMs,gerund,caus
SaMsitvA,SaMs,gerund,
SaktvA,Sak,gerund,
SaNkitvA,SaNk,gerund,
SattvA,Sad,gerund,
SapitvA,Sap,gerund,
SaptvA,Sap,gerund,
SabdAyitvA,Sabda,gerund,
SamayitvA,Sam#1,gerund,caus
SayitvA,SI#1,gerund,
SalaBAyitvA,SalaBa,gerund,
SaltvA,Sal,gerund,
SasitvA,Sas,gerund,
SastvA,Sas,gerund,
SastvA,SaMs,gerund,
SAtayitvA,Sad,gerund,caus
SAdayitvA,Sad,gerund,caus
SAntayitvA,SAnta,gerund,
SApayitvA,Sap,gerund,caus
SAyayitvA,SI#1,gerund,caus
SAsitvA,SAs,gerund,
SAstvA,SAs,gerund,
SikzayitvA,Sikz,gerund,caus
SikzitvA,Sikz,gerund,
SikzitvA,Sak,gerund,desid
SitvA,SA,gerund,
SiTilayitvA,SiTila,gerund,
SiTilAyitvA,SiTila,gerund,
SiSayizitvA,SI#1,gerund,desid
SiSUyitvA,SiSu,gerund,
SizwvA,Siz,gerund,
SizwvA,SAs,gerund,
SIGrAyitvA,SIGra,gerund,
SItvA,SyA,gerund,
SIrtvA,SF,gerund,
SIlayitvA,SIl,gerund,caus
SIltvA,SIl,gerund,
SuktvA,Suc#1,gerund,
SudDvA,SuD,gerund,
SubDvA,SuB#1,gerund,
SumBitvA,SumB,gerund,
SuSrUzitvA,Sru,gerund,desid
SUtvA,SU,gerund,
SezayitvA,Siz,gerund,caus
SocayitvA,Suc#1,gerund,caus
SoDayitvA,SuD,gerund,caus
SoBayitvA,SuB#1,gerund,caus
SozayitvA,Suz,gerund,caus
SyAmAyitvA,SyAma,gerund,
SyenayitvA,Syena,gerund,
SyenAyitvA,Syena,gerund,
SrabDvA,SramB,gerund,
SramitvA,Sram,gerund,
SramBitvA,SramB,gerund,
SrAntvA,Sram,gerund,
SrAmayitvA,Sram,gerund,caus
SrAvayitvA,Sru,gerund,caus
SritvA,Sri,gerund,
SrutvA,Sru,gerund,
SlAGitvA,SlAG,gerund,
SlizwvA,Sliz,gerund,
SlezayitvA,Sliz,gerund,caus
SvasitvA,Svas#1,gerund,
SvittvA,Svit,gerund,
zaRQayitvA,zaRQa,gerund,
zWIvitvA,zWIv,gerund,
zWIvtvA,zWIv,gerund,
saktvA,sac,gerund,
saKIyitvA,saKi,gerund,
saNkawAyitvA,saNkawa,gerund,
saNgrAmayitvA,saNgrAma,gerund,
sajjayitvA,saYj,gerund,caus
sajjIyitvA,sajja,gerund,
saYjitvA,saYj,gerund,
sattvA,sad#1,gerund,
sapiRqayitvA,sapiRqa,gerund,
saptvA,sap#1,gerund,
sarjayitvA,sfj#1,gerund,caus
sarpayitvA,sfp,gerund,caus
sahitvA,sah#1,gerund,
sAQvA,sah#1,gerund,
sAtvA,san#1,gerund,
sAdayitvA,sad#1,gerund,caus
sAdayitvA,svad,gerund,caus
sADayitvA,siD#1,gerund,caus
sAnayitvA,san#1,gerund,caus
sAntvayitvA,sAntva,gerund,
sApayitvA,sap#1,gerund,caus
sArayitvA,sf,gerund,caus
sAvaDAnayitvA,sAvaDAna,gerund,
siktvA,sic,gerund,
sitvA,sA#1,gerund,
sidDvA,siD#1,gerund,
sidDvA,siD#2,gerund,
siDitvA,siD#1,gerund,
siDitvA,siD#2,gerund,
sisAnayizitvA,san#1,gerund,desid
sisfkzitvA,sfj#1,gerund,desid
sismayizitvA,smi,gerund,desid
sIvayitvA,sIv,gerund,caus
suKAyitvA,suKa,gerund,
suKyitvA,suKa,gerund,
sutvA,su#2,gerund,
sutvA,sU#1,gerund,
sudinAyitvA,sudina,gerund,
suptvA,svap,gerund,
sumanAyitvA,sumanas,gerund,
surtvA,sur,gerund,
susyUzitvA,sIv,gerund,desid
sUcayitvA,sUc,gerund,
sUtvA,sU#1,gerund,
sUdayitvA,sUd,gerund,
sftvA,sf,gerund,
sfptvA,sfp,gerund,
sfzwvA,sfj#1,gerund,
secayitvA,sic,gerund,caus
seDitvA,siD#1,gerund,
seDitvA,siD#2,gerund,
sevayitvA,sIv,gerund,caus
sevitvA,sev,gerund,
sevitvA,sIv,gerund,
soQvA,sah#1,gerund,
skanttvA,skand,gerund,
skandayitvA,skand,gerund,caus
skamBitvA,skamB,gerund,
sKalayitvA,sKal,gerund,caus
sKalitvA,sKal,gerund,
sKAlayitvA,sKal,gerund,caus
stanitvA,stan,gerund,
stabDvA,stamB,gerund,
stamBayitvA,stamB,gerund,caus
stamBitvA,stamB,gerund,
stAvayitvA,stu,gerund,caus
stIrtvA,stF,gerund,
stutvA,stu,gerund,
stubDvA,stuB,gerund,
stuBitvA,stuB,gerund,
stftvA,stF,gerund,
stenayitvA,stena,gerund,
stoBitvA,stuB,gerund,
styAtvA,styA,gerund,
sTagayitvA,sTaga,gerund,
sTApayitvA,sTA#1,gerund,caus
sTitvA,sTA#1,gerund,
snAtvA,snA,gerund,
snigDvA,snih#1,gerund,
snihitvA,snih#1,gerund,
snIQvA,snih#1,gerund,
snugDvA,snuh#1,gerund,
snutvA,snu,gerund,
snuhitvA,snuh#1,gerund,
snUQvA,snuh#1,gerund,
snehayitvA,snih#1,gerund,caus
snehitvA,snih#1,gerund,
snohitvA,snuh#1,gerund,
spandayitvA,spand,gerund,caus
spanditvA,spand,gerund,
sparDitvA,sparD,gerund,
spASayitvA,spaS#1,gerund,caus
spfzwvA,spfS#1,gerund,
spfhayitvA,spfh,gerund,
sPaltvA,sPal,gerund,
sPItvA,sPA,gerund,
sPuwitvA,sPuw,gerund,
sPuritvA,sPur,gerund,
sPowitvA,sPuw,gerund,
sPoritvA,sPur,gerund,
smAyayitvA,smi,gerund,caus
smArayitvA,smf,gerund,caus
smitvA,smi,gerund,
smftvA,smf,gerund,
syattvA,syand,gerund,
syanttvA,syand,gerund,
syUtvA,sIv,gerund,
sraMsitvA,sraMs,gerund,
sraMstvA,sraMs,gerund,
srAvayitvA,sru,gerund,caus
srutvA,sru,gerund,
svaYjayitvA,svaYj,gerund,caus
svaYjitvA,svaYj,gerund,
svaditvA,svad,gerund,
svanayitvA,svan,gerund,caus
svanitvA,svan,gerund,
svaritvA,svar#1,gerund,
svartvA,svar#2,gerund,
svalpaSilAyitvA,svalpaSilA,gerund,
svAdayitvA,svad,gerund,caus
svittvA,svid#2,gerund,
svedayitvA,svid#2,gerund,caus
hawWvA,haW,gerund,
hattvA,had,gerund,
hatvA,han#1,gerund,
harzayitvA,hfz,gerund,caus
harzitvA,hfz,gerund,
hasitvA,has,gerund,
hAtvA,hA#1,gerund,
hAtvA,hA#2,gerund,
hArayitvA,hf#1,gerund,caus
hAsayitvA,has,gerund,caus
hiMsitvA,hiMs,gerund,
hikkitvA,hikk,gerund,
hitvA,hi#2,gerund,
hitvA,DA#1,gerund,
hItvA,hA#1,gerund,
huRqitvA,huRq,gerund,
hutvA,hu,gerund,
hUtvA,hU,gerund,
hftvA,hf#1,gerund,
hfzwvA,hfz,gerund,
hnUtvA,hnu,gerund,
hrasitvA,hras,gerund,
hrAdayitvA,hrAd,gerund,caus
hrAditvA,hrAd,gerund,
hrAsayitvA,hras,gerund,caus
hrItvA,hrI#1,gerund,
hrepayitvA,hrI#1,gerund,caus
hlAdayitvA,hlAd,gerund,caus
hlAditvA,hlAd,gerund,
hvalitvA,hval,gerund,
hvAyayitvA,hU,gerund,caus
